Timestamp,text,location,press,custom_id,label,cause,effect,iob2
2024/02/12,"Israel kills dozens in Rafah strikes, frees two captives",Palestine,Al Jazeera,0,1,Israel strikes in Rafah,kills dozens,"['I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-CAUSE', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/11,Hamas warns Israeli invasion of Rafah will ‘torpedo’ truce talks,Palestine,Al Jazeera,1,1,Israeli invasion of Rafah,‘torpedo’ truce talks,"['O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/02/11,Palestinian President Mahmoud Abbas in Qatar for Gaza ceasefire talks,Palestine,Al Jazeera,2,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/11,What’s happening in Gaza’s Rafah as Israel threatens to attack?,Palestine,Al Jazeera,3,1,Israel threatens to attack,happening in Gaza’s Rafah,"['O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O']"
2024/02/11,UNRWA refutes Israeli implications of Hamas tunnel below Gaza HQ,Palestine,Al Jazeera,4,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/11,‘We’re going to do it’: Israeli PM set on invasion of Rafah,Palestine,Al Jazeera,5,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/10,Yemen’s Houthis say 17 rebels killed in US-led attacks,Palestine,Al Jazeera,6,1,US-led attacks,17 rebels killed,"['O', 'O', 'O', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/10,Hamas official survives Israeli attack that kills two others in Lebanon,Palestine,Al Jazeera,7,1,Israeli attack,"Hamas official survives, two others killed in Lebanon","['I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'O']"
2024/02/10,"Tehran ‘never sought’ to expand war in the region, Iran’s FM says",Palestine,Al Jazeera,8,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/10,Body of 6-year-old killed in ‘deliberate’ Israeli fire found after 12 days,Palestine,Al Jazeera,9,1,‘deliberate’ Israeli fire,Body of 6-year-old killed,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'O', 'O', 'O']"
2024/02/10,Israeli military kills 28 after Netanyahu signals Rafah invasion plan,Palestine,Al Jazeera,10,1,Netanyahu signals Rafah invasion plan,Israeli military kills 28,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/10,Who are the Islamic Resistance in Iraq?,Palestine,Al Jazeera,11,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/10,Football fever grips Jordan before historic AFC Asian Cup 2023 final,Palestine,Al Jazeera,12,1,AFC Asian Cup 2023 final,Football fever grips Jordan,"['B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'O', 'O', 'B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE']"
2024/02/09,Demands for Canada to stop supplying weapons to Israel grow louder,Palestine,Al Jazeera,13,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/09,Israeli snipers kill 21 civilians outside Gaza’s besieged Nasser Hospital,Palestine,Al Jazeera,14,1,Israeli snipers,kill 21 civilians outside Gaza’s besieged Nasser Hospital,"['B-CAUSE', 'I-CAUSE', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/02/09,"Israel ramps up deadly attacks on Gaza’s Rafah despite US, UN warnings",Palestine,Al Jazeera,15,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/09,UAE in talks to develop $22bn beach land in Egypt,Palestine,Al Jazeera,16,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2024/02/08,Israel escalates Rafah bombardment as US warns of a ‘disaster’,Palestine,Al Jazeera,17,1,Israel escalates Rafah bombardment,US warns of a ‘disaster’,"['B-CAUSE', 'I-CAUSE', 'I-CAUSE', 'I-CAUSE', 'O', 'B-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT', 'I-EFFECT']"
2024/02/08,"Tunisia’s press, civil society silent as Ghannouchi sentenced, analysts say",Palestine,Al Jazeera,18,0,,,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
