Title,Subtitle,Content,URL
"Russia-Ukraine war: List of key events, day 750","As the war enters its 750th day, these are the main developments.","Here is the situation on Thursday, March 14, 2024. ",https://www.aljazeera.com/news/2024/3/14/russia-ukraine-war-list-of-key-events-day-750
EU agrees $5.5bn boost for military aid to Ukraine,"The move provides a welcome boost for Kyiv as support from its other major backer, the US, wavers and its outgunned forces struggle to hold back Russia.","European Union countries have agreed to provide 5 billion euros ($5.48bn) for military aid to Ukraine as part of a revamp of an EU-run assistance fund, handing Kyiv a timely boost as its forcesstruggle against Russia’s invasion. Ambassadors from the EU’s 27 member countries agreed to the overhaul of the European Peace Facility (EPF) fund at a meeting in Brussels on Wednesday aftermonths of wrangling, with EU heavyweights France and Germany at the centre of much of the debate. “The message is clear: we will support Ukraine with whatever it takes to prevail,” EU foreign policy chief Josep Borrell posted on social media platform X after the decision. The fund operates as a giant cashback scheme, giving EU members refunds for sending munitions to other countries. France, a strong promoter of European defence industries, had insisted on a strong “buy European” policy for arms eligible for refunds. Other countries argued that such a requirement would inhibit efforts to buy worldwide to get weapons to Ukraine quickly. Germany, by far Europe’s biggest bilateral donor of military aid to Ukraine, had demanded donations be taken into account in determining the size of countries’ financial contributions to the fund. Diplomats said compromise was eventually reached allowing flexibility on the “buy European” rules and taking into account part of the value of bilateral aid when calculating members’ financial contributions. “This is yet another powerful and timely demonstration of European unity and determination in achieving our common victory,” said Ukrainian Foreign Minister Dmytro Kuleba. “We look forward to the final decision being approved at the next EU Foreign Affairs Council meeting.”    The final text said the scheme should give priority to the European defence industry while “exceptionally allowing for flexibility in cases where it cannot provide within a timeframe compatible with Ukrainian needs”. The compromise will allow the fund to help finance a Czech initiative to buy hundreds of thousands of desperately needed artillery shells from countries outside Europe, according to diplomats. The EPF has already been used to allocate some 6.1 billion euros ($6.7bn) to military aid for Ukraine, according to the EU. Borrell proposed creating a new cash pot last year specifically for aid to Kyiv – the Ukraine Assistance Fund – inside the EPF, with a budget of up to five billion euros per year for the next four years. That prompted a prolonged debate about rules for future aid, eventually leading to Wednesday’s agreement. The compromise included measures to satisfy Hungary, which has previously blocked payouts from the EPF and said it does not want its contributions to finance arms for Ukraine. Under the deal, its contributions will be used to fund military aid to other countries, according to EU officials. “Ukraine needs more arms and equipment, we will provide them in sufficient quantities and in a coordinated manner,” said Hadja Lahbib, the foreign minister of Belgium, the current holder of the EU’s rotating presidency. “Europe is true to its commitments. Our freedom is at stake.”    The announcement of the latest funds for Ukraine has come as Kyiv’s forces are under pressure along the front line in the face of ammunition shortages. The United States on Tuesday announced a new $300m weapons package for Ukraine, but a further $60bn in funding remains stalled by Republicans in Congress. Warnings have grown in Europe that a failure to keep up support for Kyiv could see it ultimately defeated and that an emboldened Kremlin might then attack other countries. The EU is pushing to bolster weapons and ammunition production by its defence industry, buttwo years into the war, it is still struggling to ramp up output. The bloc is set to fall well short of a promise it made a year ago to supply Ukraine with a million artillery shells by this month. Meanwhile, Russia has stepped up its arms production by putting its economy on a war footing and has received major deliveries of weapons from Iran and North Korea.",https://www.aljazeera.com/news/2024/3/13/eu-5bn-euro-boost-for-ukraine-military-aid-fund-russia
Nordic tensions on the rise amid Russian anger over NATO accessions,"Finland PM urges EU to step up defence spending and coordination, as tensions rise with Russia following NATO accession.","Signs of tension with Russia are rising in the Nordic region following Sweden and Norway’s accession to NATO. Finnish Prime Minister Petteri Orpo on Wednesday warned that Moscow is gearing up for a “long conflict with the West” and Denmark revealed plans to boost defence spending, as Russia continued to condemn the expansion of the Western military alliance in the wake of Moscow’s invasion of Ukraine. In comments delivered to the European Parliament, Orpo called for increased spending and coordination on European defence. “Russia is evidently preparing for a long conflict with the West and represents a permanent and essential military threat to Europe,” the Finnish leader declared. “If we, as a united Europe, fail to respond sufficiently to this challenge, the coming years will be filled with danger and the looming threat of attack,” he said, before adding: “Russia is not invincible.” Orpo, whose country neighbours Russia, urged the 27-country European Union to step up defence spending and said the bloc had to take care of its own defence, insisting that its security cannot hinge on the outcome of the election in the United States. Republican contender Donald Trump suggested last month thatNATO guarantees could be weakenedshould he win back the White House in November’s vote. Meanwhile, Moscow has continued to hit out at the Western alliance’s expansion. President Vladimir Putin said in remarks published on Wednesday that Finland andSweden’s entry into NATOwas “a meaningless step”. Russia will deploy troops and systems of destruction to the border after Finland joins the alliance, he reiterated. Putin also warned the West on Wednesday thatRussia was technically ready for nuclear warand that if the US sent troops to Ukraine, it would be considered a significant escalation of the conflict.  Russia’s annexation of Ukraine’s Crimean peninsula in 2014 served as a wake-up call for European countries, and saw NATO increase its minimum defence spending recommendation from less than 1.5 percent to 2 percent of gross domestic product (GDP). Many have been struggling to hit that threshold. However, Moscow’s continuing invasion of Ukraine is focusing minds, while weapons and ammunition handed to Kyiv have boosted spending. Denmark, one of NATO’s founding members, on Wednesday said it would raise its defence budget by $5.9bn over the next five years to boost its military capacity, pushing it past the spending target starting this year. “The total defence budget, including aid to Ukraine, will amount to 2.4 percent of Danish GDP this year and in 2025,” Prime Minister Mette Frederiksen told reporters. The increased funding will be used both to boost Denmark’s military capacity and provide aid to Ukraine. It will also go towards an expansion of conscription, which will be extended from four to 11 months and will include women for the first time. Denmark already announced last year that it was tripling its military spending over the next 10 years. “We haven’t stopped investing in defence, but it’s still not enough,” Frederiksen said. “If we want to reach NATO’s target of being able to deploy a brigade of 6,000 soldiers as quickly as possible and to defend Denmark against air strikes, we have to modernise even more quickly,” she stated.",https://www.aljazeera.com/news/2024/3/13/finnish-leader-says-russia-is-preparing-for-long-conflict-with-the-west
"Russia-Ukraine war: List of key events, day 749","As the war enters its 749th day, these are the main developments.","Here is the situation on Wednesday, March 13, 2024.   ",https://www.aljazeera.com/news/2024/3/13/russia-ukraine-war-list-of-key-events-day-749
"Three killed, 38 injured in Russian attack on Ukrainian city of Kryvyi Rih",Ten children are among those injured in the missile attack on apartment buildings as rescue teams search for survivors.,"A Russian missile has hit two apartment buildings in the central Ukrainian city of Kryvyi Rih, killing three people and injuring at least 38, with rescue teams sifting through rubble in a night-time search for survivors. Serhiy Lysak, governor of the Dnipropetrovsk region, put the provisional injury toll from the attack on Tuesday at 28 adults and 10 children. “Two buildings were hit, one five storeys, one nine storeys,” Lysak wrote on Telegram. “The number of injured is constantly rising as is the number of children injured.” Video of the scene showed a blaze that erupted at the top of one apartment block and rescue teams carrying the injured out of shattered building entrances. “The emergency services and residents who care are rescuing residents blocked in their apartments and are continuing to search for anyone who might be under the rubble,” Interior Minister Ihor Klymenko wrote. “Four people have already been rescued.” Ukraine’s President Volodymyr Zelenskyy, who was born and raised in Kryvyi Rih, said on Telegram that search operations “will continue as long as they are needed.” In his evening address, he said: “We will inflict losses on the Russian state in response – quite rightly. They in the Kremlin must learn that terror does not go unpunished for them.” The city of Kryvyi Rih has been frequently targeted by Russian forces throughout the conflict.   ",https://www.aljazeera.com/news/2024/3/12/russian-missile-attack-apartment-buildings-kryvyi-rih-ukraine
Anti-Putin paramilitaries claim incursion into Russia from Ukraine,Ukraine’s military intelligence says anti-Putin Russian volunteer militias are not acting under orders from Kyiv.,"Pro-Ukrainian militias have claimed multiple attacks on Russian border regions as Russia insisted it beat back the raids, staged three days before it holds a presidential election. Ukraine-based armed groups, made up of pro-Kyiv Russian volunteer fighters who oppose Russian President Vladimir Putin, said on Tuesday they had entered the Kursk and Belgorod regions. The cross-border raids, which Russia’s defence ministry said were thwarted, took place as Kyiv launched dozens of drones and rockets in Russia in its largest attack since Moscow launched its full-scale invasion of Ukraine in February 2022. The Ukrainian attack set twooil refineriesin Russia ablaze. Ilya Ponomarev, a former member of the Russian Duma, now acting as political head of the Freedom of Russia Legion, said on Telegram that the raids had been carried out by his group in a “joint operation” with the Russian Volunteer Corps and the Siberian Battalion. The Legion claimed it was still clashing with Russian forces as of 1:15pm local time (10:15 GMT). It published a video from a drone purportedly showing a vehicle being blown up and fighters on the streets of the village of Tyotkino, on the border between Russia and Ukraine. However, Russia’s Ministry of Defence said its forces had repelled the last attack at 8:25am (05:25 GMT), saying troops had fought off multiple attacks by “Ukrainian terrorist groups” that had attempted to invade from three directions after alleged “intensive shelling” of civilian sites. “All the Ukrainian attacks were repelled. The enemy was hit by aircraft, rockets and artillery,” it said. Kursk Governor Roman Starovoyt said there had also been a shootout in his region, but a larger incursion had been thwarted. In the wake of the attacks, schools in the city of Kursk were switching to online classes, according to the TASS news agency. Another pro-Kyiv paramilitary group, the Russian Volunteer Corps, posted night-vision video on Tuesday purporting to show its troops engaged in a firefight. Ukraine-based militias have claimed to be behind previous incursions into Russian territory. Andriy Yusov, a spokesman for Ukraine’s military intelligence, said that the Russian volunteer groups were not acting under orders from Kyiv. But he added that the attacks showed “the Kremlin is once again not in control of the situation in Russia”. A spokesperson for the political wing of the Freedom of Russia Legion told the AFP news agency on Tuesday that the attack was timed to coincide with Russia’s March 15-17 presidential elections. “This is not an election at all. It is the next stage of a usurpation of power, the formation of Putin’s dictatorship under the guise of elections,” spokesman Alexei Baranovsky said. The cross-border attack came as Kyiv launched one of its most significant drone strikes on Russia of the two-year war. Moscow said it downed 25 Ukrainian drones over regions including Moscow, Leningrad, Belgorod, Kursk, Bryansk, Tula and Oryol. Waves of drone attacks continued through the day, the defence ministry said. Russian officials reported attacks on energy facilities, including a fire at Lukoil’s NORSI refinery and a drone destroyed on the outskirts of the town of Kirishi, home to Russia’s second-largest oil refinery. Gleb Nikitin, governor of the Nizhny Novgorod region, posted a picture of a fire truck beside the NORSI refinery and said emergency services were working to put out a blaze there. “A fuel and energy complex facility was attacked by unmanned aerial vehicles,” Nikitin said on Telegram. Industry sources told the Reuters news agency on condition of anonymity that the main crude distillation unit (AVT-6) at NORSI was damaged in the attack, which means that at least half of the refinery’s production is halted. Lukoil declined to comment.",https://www.aljazeera.com/news/2024/3/12/anti-putin-paramilitaries-claim-incursion-into-russia-from-ukraine
European Commission to recommend EU accession talks with Bosnia,Brussels is pushing to accelerate EU expansion in Western Balkans as it eyes growing Russian and Chinese influence.,"The European Commission is set to recommend that the European Union open accession talks with Bosnia and Herzegovina. President Ursula von der Leyen said on Tuesday that the EU’s executive arm will ask member states to open negotiations with Sarajevo, despite lingering ethnic divisions in the Western Balkan country, as the West eyes the growing influence of Russia and China in the region. Bosnia is among six Western Balkan nations – alongside Albania, Serbia, Kosovo (a semi-autonomous territory and self-declared republic), Montenegro and North Macedonia – that are at different stages of the EU accession process. Despite early efforts to bring the sextet into the bloc to try to help consign the region’s wars and crises in the 1990s to history, impatience has been growing, with progress stalled for years. However,Russia’s invasion of Ukraine, and inroads being made by Moscow and Beijing in gaining influence, are helping to focus some minds in the West, pushing EU officials to accelerate the process. “We have realised that it is not enough to just wait for the Western Balkans to move closer to us,” von der Leyen told the European Parliament. “It is not enough to say that the door is open. We must also take responsibility, and support their path towards our union in any possible way.” EU leaders are expected to discuss the recommendation at a summit in Brussels next week. There is no guarantee that member states will endorse it asMilorad Dodik, a pro-Russian, separatist Bosnian Serb leader, continues to undermine the presidency and other political functions in the country. Bosnia has been riven byethnic divisions even decades after the warthat tore it apart in the 1990s. In December, Dodik said he intended to keep weakening the country to the point where it falls apart.    Bosnia was granted EU candidate status in 2022. To join the bloc, countries must go through a lengthy process to align laws and standards and show that their institutions and economies meet democratic norms. Von der Leyen admitted that Bosnia needs “more progress”, but insisted that it has made “impressive steps”. “More progress has been achieved in just over a year than in over a decade,” she said. “First, Bosnia and Herzegovina is now fully aligned with our foreign and security policy, which is crucial in these times of geopolitical turmoil.” She also praised the country for its efforts in fighting money laundering, the financing of terrorism and improving the control of migration flows. “The country is showing that it can deliver on the membership criteria, and on its citizens’ aspiration to be part of our family,” she said. “The message coming from Bosnia and Herzegovina is clear. So our message must be clear too. The future of Bosnia and Herzegovina lies in our union.” Bosnia is perhaps the most fragile of the Balkan countries. Ethnic tensions there have persisted long after the end of the 1992-95 interethnic war that killed more than 100,000 people and displaced millions.",https://www.aljazeera.com/news/2024/3/12/european-commission-to-recommend-eu-accession-talks-with-bosnia
Ukrainian drones and missiles strike Russian oil refineries,Ukraine continues to target Russia’s oil and gas infrastructure.,"Ukraine has launched a barrage of drone and missile strikes against Russia, igniting two oil refineries. The overnight attacks, some of which reached deep into Russian territory, hit refineries in towns hundreds of miles apart in the Nizhny Novgorod and Oryol regions. No casualties were reported, according to regional officials. In Kstovo, a town located 828km (514 miles) from the Ukraine border in Nizhny Novgorod, a fuel and energy complex, reportedly owned by Lukoil – Russia’s largest privately-owned company – was attacked by drones, according to regional Governor Gleb Nikitin. “The special services are working on the spot, using all the necessary force and means to localise the fire at one of the oil refining installations,” he said on the Telegram messaging app. A drone also smashed into a refinery in the town of Oryol, some 160km (99 miles) from the Ukraine border, according to Andrey Klychkov, governor of the Oryol region. An emergency services official quoted by Russian state news agency RIA Novosti said a tank containing petroleum products caught fire. At least 17 people from high-rise buildings near the site of the drone crash were reported to have been evacuated to a temporary accommodation centre. Ukraine and Russia have often used drones to strike critical infrastructure, military installations and troop concentrations in their more than two-yearwar. Kyiv has concentrated fire on Russian refineries and energy facilities in recent months. The latest overnight operation saw it launch at least 25 drones and seven missiles, targeting Moscow, Leningrad, Belgorod, Kursk, Bryansk, Tula and Oryol, Russia’s Ministry of Defence said. One drone flying towards Moscow was downed over the Ramensky district near the capital, said Moscow Mayor Sergei Sobyanin on Telegram. Meanwhile, Russian forces bombed a five-storey residential building in the eastern city of Kupiansk in the Kharkiv region, according to Ukraine’s State Emergency Service, destroying it and causing several fires. The attack came after four people were injured in Russian attacks in Kharkiv on Monday, including a 70-year-old woman.",https://www.aljazeera.com/news/2024/3/12/ukrainian-drones-and-missiles-strike-russian-oil-refineries
"Russia-Ukraine war: List of key events, day 748","As the war enters its 748th day, these are the main developments.","Here is the situation on Tuesday, March 12, 2024.",https://www.aljazeera.com/news/2024/3/12/russia-ukraine-war-list-of-key-events-day-748
"Russia, NATO at odds over pope’s call for Ukraine to show ‘white flag’",Moscow said the pope’s comment was ‘quite understandable’ while NATO said ‘it’s not the time to talk about surrender’.,"The Kremlin has said Pope Francis’s call for talks to end the war in Ukraine was “quite understandable”, while NATO’s secretary general said now was not the time to talk about “surrender”. Pope Francis said in an interview recorded last month that Ukraine should have “the courage of the white flag” to negotiate an end to awarthat is now in its third year. As Russia makes gains on the battlefield, the West grapples with how to support Ukraine and the prospect of a dramatic change in United States policy if Donald Trump wins November’s presidential election. “It is quite understandable that he [the pope] spoke in favour of negotiations,” Kremlin spokesman Dmitry Peskov told reporters on Monday. He said RussianPresident Vladimir Putinhad repeatedly said his country was open to peace talks. “Unfortunately, both the statements of the pope and the repeated statements of other parties, including ours, have recently received absolutely harsh refusals,” he said.    Moscow’s offers to negotiate have invariably been predicated on Kyiv giving up the territory that Moscow has seized and declared to be part of Russia, amounting to more than a sixth of Ukraine. Peskov said Western hopes of inflicting a “strategic defeat” on Russia were “the deepest misconception”, adding: “The course of events, primarily on the battlefield, is the clearest evidence of this.” NATO Secretary-General Jens Stoltenberg said negotiations that would preserve Ukraine as a sovereign and independent nation would only come when Putin realised he would not win on the battlefield. “If we want a negotiated, peaceful, lasting solution, the way to get there is to provide military support to Ukraine,” he told the Reuters news agency at NATO headquarters in Brussels. Asked if this meant now was not the time to talk about a white flag, he said: “It’s not the time to talk about surrender by the Ukrainians. That will be a tragedy for the Ukrainians.” “It will also be dangerous for all of us. Because then the lesson learned in Moscow is that when they use military force, when they kill thousands of people, when they invade another country, they get what they want,” he said. On Sunday, Ukrainian President Volodymyr Zelenskyy dismissed Pope Francis’s call for talks with Russia as “virtual mediation” from a distance. In his nightly video address, Zelenskyy did not directly refer to Francis or his remarks, but said the pope’s ideas had nothing to do with efforts by religious figures in Ukraine to help the country. “They support us with prayer, with their discussion and with deeds. This is indeed what a church with the people is,” Zelenskyy said. “Not 2,500km [1,550 miles] away, somewhere, virtual mediation between someone who wants to live and someone who wants to destroy you.” Zelenskyy, who signed a decree in 2022 ruling out talks with Putin, said last week that Russia will not be invited to a peace summit due to be held in Switzerland.",https://www.aljazeera.com/news/2024/3/11/kremlin-nato-at-odds-over-popes-call-for-ukraine-to-show-white-flag
