Title,Subtitle,Content,URL
"Russia-Ukraine war: List of key events, day 616","As the war enters its 616th day, these are the main developments.","Here is the situation on Wednesday, November 1, 2023.",https://www.aljazeera.com/news/2023/11/1/russia-ukraine-war-list-of-key-events-day-616
Russia says Kyiv behind shooting of Ukrainian pro-Moscow separatist leader,"The FSB arrested a 46-year-old Russian man in Crimea for allegedly acting as an accomplice, Russian state media reports.","Russia has accused the Ukrainian government of carrying out theattempted assassinationof former Ukrainian Member of Parliament and Moscow-backed separatist Oleg Tsaryov. The Russian state news agency TASS reported on Tuesday that the FSB, Russia’s federal security agency, had arrested a 46-year-old Russian man who resides in Crimea for allegedly acting as an accomplice. The FSB said that the suspect confessed to his role in helping coordinate the plot by conducting surveillance and leaving a cache of weapons, saying that he acted “on the instructions of Ukraine’s security service”. The pro-Russian politician and businessman Tsaryov was shot twice in his home in Yalta, Crimea, last week. The FSB has said that he is in “satisfactory” condition. Media reports had identified Tsaryov as the potential leader of a prospective puppet government in Kyiv that Russia had hoped to install when it launched itsinvasion of Ukrainein February 2022. That plan was denied by Tsaryov, who told the news outlet Reuters, which reported on the prospective plan, that the account had “very little to do with reality”.    Ukrainian media outlets and the news service Reuters reported last week that the Security Service of Ukraine (SBU) was responsible for the assassination effort on Tsaryov, who a Ukrainian source told Reuters was an “absolutely legal” target. The 53-year-old, who owns a hotel in Crimea, which was annexed by Russia in 2014, was a former member of Ukraine’s parliament. When Russian-backed separatists in eastern Ukraine began fighting Ukrainian forces in 2014, Tsaryov became the leader of the separatist parliament known as Novorossiya. He has been sanctioned by Ukraine, the United States, and several other Western countries and is listed as a “traitor to the Motherland” by Ukraine.",https://www.aljazeera.com/news/2023/10/31/russia-says-kyiv-behind-shooting-of-ukrainian-pro-moscow-separatist-leader
Russia’s Shoigu claims US fuelling tension to uphold ‘global dominance’,"Speaking at security forum in Beijing, defence minister warns of growing risk of confrontation between nuclear-armed countries.","Russian Defence Minister Sergei Shoigu has accused the United States of fuelling geopolitical tensions to uphold its “global dominance by any means” and warned of the growing risk of confrontation between nuclear-armed countries. Addressing the Xiangshan Forum, China’s biggest military diplomacy conference, Shoigu also claimed the NATO alliance was trying to expand its footprint in the Asia Pacific under the pretence of seeking dialogue and collaboration with regional countries. “Washington for years has deliberately undermined and destroyed the foundations of international security and strategic stability, including the system of arms control agreements,” Shoigu said at the start of the three-day event on Monday. “Having provoked an acute crisis in Europe, the West is trying to expand the crisis potential in the Asia Pacific,” he told delegates from about 90 countries. “Direct involvement of countries with nuclear arsenals multiplies the strategic risks. The West’s line towards escalation with Russia poses a risk of direct conflict between nuclear powers, which will result in catastrophic consequences,” Shoigu added. Shoigu’s gloomy assessment was echoed by China, whose defence ministerLi Shangfuwas sacked without explanation last week after disappearing from public view at the end of August. China has refused to condemnRussia’s invasion of Ukraineand has deepened economic, diplomatic and military cooperation with Moscow since the start of the war in February 2022. Russian President Vladimir Putin this month paid a two-day visit to China, his first outside the former Soviet Union this year and part of the Kremlin’s drive to strengthen its economic partnerships across Asia. Zhang Youxia, China’s second most senior military official, painted a grim picture of the international situation, blaming countries he did not name for the turmoil. “As we look across the world today, hotspot issues are arising one after another. The pain of war, chaos and turmoil, and loss of life are constantly playing out,” Zhang said. “Some countries, for fear that the world may stabilise, deliberately create turmoil, interfere in regional issues, interfere in other countries’ internal affairs, and instigate colour revolutions,” he said. “Behind the scenes, they hand out knives and think nothing of provoking people into wars, ensuring that they’re the ones who benefit from the chaos,” he added. Zhang – who embraced Shoigu on the sidelines of the forum – said that Beijing was “willing to develop military ties with the US on the basis of mutual respect, peaceful coexistence and win-win cooperation.” China suspended military communication with the US, which was represented at the forum by a delegation led by Xanthi Carras, the leading official on China at the Pentagon, in August 2022. In recent years, the US has deepened its relationships with countries across the Asia Pacific, with initiatives such as the Quad that includes Australia, India and Japan, as well as the AUKUS project with Australia and the United Kingdom, which involves the sharing ofnuclear-powered submarine technologyand the development of advanced weaponry. The US has also furtheredsecurity cooperationwith Japan and South Korea, as well as with the Philippines, where it has securedaccessto military bases.",https://www.aljazeera.com/news/2023/10/31/russias-shoigu-claims-us-fuelling-tension-to-uphold-global-dominance
"Russia-Ukraine war: List of key events, day 615","As the war enters its 615th day, these are the main developments.","Here is the situation on Tuesday, October 31, 2023. Oleh Kiper, the governor of Ukraine’s southern Odesa region, said two people were wounded and buildings damaged in a Russian missile attack on a shipyard. Russia’s Federal Security Service (FSB) said it had detained a Russian man in Crimea on suspicion of treason, accusing him of passing military secrets to Ukraine, according to a state news agency.    Colonel General Mikhail Teplinsky has been named as the new commander of Russia’s Dnipro military group in Ukraine replacing Colonel General Oleg Makarevich. Russia’s armed forces are divided into about half a dozen groups, and the Dnipro group is thought to be deployed in southern Ukraine.",https://www.aljazeera.com/news/2023/10/31/russia-ukraine-war-list-of-key-events-day-613
Russia to ease investment for ‘friendly’ countries,"The ‘friendly’ countries include China, India, Brazil, Saudi Arabia, Turkey, Kazakhstan and Belarus.","Russia will ease investment processes for citizens and companies from “friendly” countries, as it seeks to establish an anti-Western coalition and shore up its sanctions-hit economy. Russian Prime Minister Mikhail Mishustin announced on Monday that investment processes will be simplified for investors from 25 countries considered allies by Moscow. In the wake of its invasion of Ukraine in February 2022, and subsequent efforts by Western states to isolate it and trim its economic power to wage war, Russia has been seeking to strengthen ties around the globe. The “friendly” countries whose citizens and companies will be able to open Russian bank accounts and make deposits through a simplified process include China, India, Brazil, Saudi Arabia, Turkey, Kazakhstan and Belarus. “Creating more convenient conditions for foreign enterprises and entrepreneurs is an important part of the government’s systemic efforts to achieve financial sovereignty as part of the implementation of the national goals set by our president,” Mishustin said in a statement. According to Moscow, “unfriendly” nations are those that have joined a slew of Western-led economic sanctions in response to its war in Ukraine. Russia haslikenedthe sanctions to “a declaration of war”. On Monday, Russian Defence Minister Sergei Shoigu singled out one of the primary instigators of the sanctions, the United States, at a defence conference in Beijing, accusing it of disrupting global security and harming Russia’s interests. “To maintain its geopolitical and strategic dominance, the United States is deliberately undermining the basis of international security and strategic stability,” Shoigu said. Shoigu also pointed the finger at the US’s Western and Asia Pacific allies, without naming them. “Western countries aim to escalate the conflict with Russia and increase the risk of major country confrontation … This will lead to serious consequences,” he added. US-Russia relations havedeterioratedsince Moscowlaunchedan all-out invasion of Ukraine, resulting in a bloody 20-month war. The US hassuppliedsome $75bn in humanitarian, financial and military aid to Ukraine as it fends off Russian forces. A group of Western nations and blocs, including the US, the European Union, and the United Kingdom haveimposedfar-reaching sanctions on Moscow.",https://www.aljazeera.com/news/2023/10/30/russia-to-make-it-easier-for-friendly-countries-to-invest
"Russia-Ukraine war: List of key events, day 613","As the war enters its 613th day, these are the main developments.","Here is the situation on Sunday, October 29, 2023.   ",https://www.aljazeera.com/news/2023/10/29/russia-ukraine-war-list-of-key-events-day-612
"Taiwan takes security lessons from Hamas, Ukraine surprise attacks",Taiwan considers its ability to counter a Chinese invasion attempt with lessons learned from Israel-Gaza war and Russia’s invasion of Ukraine.,"Taichung, Taiwan –On October 7, the Palestinian armed group Hamas launched a surprise attack on Israel, firing thousands of rockets that quickly overwhelmed Israel’s state-of-the-art Iron Dome air defence system while thousands of fighters infiltrated southern Israel by air, sea and land. The significance of Hamas’s surprise attack was not lost on Taiwan’s military, which lives with a promise by Beijing’s political leaders to unify self-ruled Taiwan with China,by force if necessary. In the week after Hamas’s raid on Israel, the Taiwanese defence ministry announced the establishment of a task force to draw lessons from the Israel-Gaza war. Taiwan’s defence minister, Chiu Kuo-cheng, has said that an initial lesson is that intelligence gathering will be key to counter China’s threats. Taiwan also has the sea, said 42-year-old Tony Wei, who is a member of the Taiwanese reserves and a dentist by profession. Taiwan is separated from China’s east coast by a 130-kilometre (81-mile) stretch of ocean known as the Taiwan Strait which acts as a natural barrier and early warning system should Beijing try to overwhelm Taiwan in a surprise attack. “To invade Taiwan, they (the Chinese military) have to gather a very large fleet,” Wei told Al Jazeera. China’s mobilisation of such a naval force would probably be detected by Taiwan, giving the self-ruled island time to ready for an invasion or even launch a preemptive attack, Wei said. Still, the Hamas raid – largely considered unimaginable by military analysts before it happened – has made Wei question whether Taiwan truly possesses thecapabilitiesnecessary to counter a potentially determined Chinese military. “The Israelis have a very powerful military, an effective intelligence service and a lot of American support,” Wei said. “If even Israel can be surprised and overwhelmed, then what about Taiwan?” The Israel-Gaza war is the second time the world has recently been taken aback by a military operation considered improbable until it was carried out. “They said that President Putin wouldn’t attack Ukraine, but he did, and they said that Hamas couldn’t attack Israel, but they did,” Wei said, referring to theRussian invasionof February 2022. “Taiwan needs to learn from these attacks in case our island becomes the next place where the unthinkable happens.” “Hamas’s attack achieved strategic, operational, and tactical surprise against the Israelis,” Eric Chan, a non-resident research fellow at the Global Taiwan Institute, told Al Jazeera. “Taiwan has a vested interest in avoiding this type of surprise, especially because their adversary has greater powers than Hamas,” Chan said. “The Russian invasion, as well as the surprise attack by Hamas, was an object demonstration that while you may think that the adversary is deterred by high costs, the adversary may actually not care,” he added. Fang-Yu Chen, an assistant professor at Soochow University in Taipei who researches political relations between Taiwan, China and the US, said that Taiwan’s announced establishment of a task force in the aftermath of the Hamas attack was an attempt to learn lessons in order to prevent a Taiwanese intelligence failure with regards to China. “Taiwan is constantly picking up a lot of information about China’s activities, but such information has to be verified, analysed and passed on to the right people,” Chen told Al Jazeera. According to Chen, Taiwan might look to strengthening its intelligence gathering in order to ensure that credible threats from China are clearly identified before a potential disaster strikes. “The next major consideration is what to do after an attack has already taken place,” he said. Taiwan’s government has taken steps in that direction, too.    More money is being allocated to the military; compulsory military service for Taiwanese citizens is being extended from four months to one year; the purchase of new missile systems was announced, and the island’sfirst domestically built submarinewas also unveiled earlier this month. In its preparations, Taiwan has also looked to and learned from the war in Ukraine, according to Chen. A major lesson of Russia’s invasion is the importance of not only strengthening the island’s conventional military and intelligence but also its capabilities within the field of information warfare in order to win the battle of the narrative, he said. Chen has observed thatChina’s information operationsdirected at Taiwan have adjusted since Russia’s invasion of Ukraine. “Before the Ukraine war, the propaganda was often about how the US will abandon Taiwan, but after the war, it has been about how the US is pushing China towards war,” he said. At the same time, Chen has detected a polarisation of public opinion in Taiwan with people who were already willing to fight against Chinese aggression becoming more willing to confront Beijing while those who were unwilling to fight have become even less willing. Amid thisbattle for public opinionand efforts to influence personal resolve among the Taiwanese, Taiwan’s government last year launched a ministry of digital affairs which has since introduced a range of measures to combat disinformation directed at the island and its population. In the battle of narratives it is not just a matter of countering disinformation that reaches Taiwan, said Wei, the military reservist, but also about how Taiwan obtains the backing of other countries. Taiwan’s President Tsai Ing-wen has also taken certain preliminary steps to accomplish this by encouraging the island to tell its own story to the world. Through the “Give Taiwan a Voice” campaign, her administration has protested against Taiwan’s exclusion from the United Nations and sought to highlight the island’s contributions to the international community. At the same time, Tsai has sought to reach out to and integrate Taiwan more extensively with countries in South and Southeast Asia through a so-called “southbound policy” under the slogan of “Taiwan helps Asia, Asia helps Taiwan”. Wei believes such initiatives are important if Taiwan is to win over world opinion in the face of increasing pressure from China. For Wei, the importance of winning the narrative was highlighted in the information battle that broke out between Israel and Hamas over responsibility for the deadly explosion at theal-Ahli Arab Hospital in Gaza. The fight to convince the world of the magnitude and responsibility for the hospital atrocity had far-reaching consequences as meetings between US President Joe Biden – Israel’s staunchest ally – and several Arab leaders were cancelled amid a global outcry over the attack. As Wei said, no one supports someone who bombs hospitals, and no one can win a war without assistance from the outside. Winning the information war, he said, will be crucial for Taiwan in any potential confrontation with China. “So, we must win the war of words so that we can count on international support if Chinese bombs strike Taiwan.”",https://www.aljazeera.com/news/2023/10/29/taiwan-takes-security-lessons-from-hamas-ukraine-surprise-attacks
Gaza divides the world along faultlines set by Ukraine war,Russia is running short of shells but Israel’s war in Gaza threatens to cloud US diplomacy.,"Israel’s war against Hamas has deepened the international faultlines set during Russia’s war in Ukraine, as both sides seek to entrench an increasingly polarised pattern of global allegiances during the 87th week of the Ukraine war. US President Joe Biden tarred Russian leader Vladimir Putin and Hamas, which the United States and the European Union consider a terrorist group, with the same brush after visiting Israel on October 18. “Hamas and Putin represent different threats, but they share this in common: They both want to completely annihilate a neighbouring democracy,” Biden said in a primetime Oval Officespeechwatched by 20 million people. Washington’s European allies, who have stood behind Ukraine, also paid visits to Israel in a show of solidarity that simultaneously cemented their geopolitical allegiance. Biden further joined the Ukrainian and Israeli causes in Congress last week byseeking$105bn in new funding for them in a single bill, calling it “a smart investment that’s going to pay dividends for American security for generations”. “They used to call it ‘fighting for freedom and democracy’,” Russia’s Ministry of Foreign Affairs spokesperson Maria Zakharova lashed back in a message on the Telegram platform. “Now it turns out it is just calculations.” China and Russia, too, have sought to close ranks, saying they will focus on a “close coordination of efforts” to solve crises in the Middle East. Russia’s deputy Foreign Minister Mikhail Bogdanov met Zhai Jun, China’s special envoy for the Middle East, in Doha on the same day as Biden’s speech – October 20. Russia has also been tightening relations with Iran. Foreign Minister Sergey Lavrov visited Iranian President Ebrahim Raisi in Tehran on October 24 to “further build” their “multifaceted” partnership, Russia’s foreign ministry said in a statement on Tuesday. While supporting Hezbollah in Lebanon, a sworn enemy of Israel, Iran is also a supplier of Shahed kamikaze drones to Russia in its war in Ukraine. Russia now produces its own Shahed drones and, according to Russian news sources, it may have begun on October 23 to deploy a new type of Iranian drone, the Italmas, which is said to have a longer range and is harder to detect. Diplomacy, military technology and money are intimately connected. Ukraine has relied heavily on Western aid. The US spent nearly $77bn to support Ukraine against the Russian invasion between February 24 last year and July 31 this year, according to the Council on Foreign Relations, a think tank, and Biden wants Congress to agree to $60bn more. The EU has spent 82 billion euros ($86.7bn) since the beginning of the war. Some of this has come in the form of advanced military hardware, which has given Ukraine an edge. This month, Ukraine started using Army Tactical Missile Systems (ATACMS) from the US arsenal. Putin dismissed it as a weapon that “only prolongs the agony”, but Ukraineused it to damageat least five Russian helicopters at the Luhansk city airfield and cause further damage at an airfield in occupied Berdyansk. Putin is also in increasing financial difficulty. On Monday, Britain’s military intelligence said he had raised next year’s defence spending by 68 percent, bringing it to $82bn or 6 percent of gross domestic product (GDP), possibly to cover increased medical and retirement costs for soldiers. Last week, Estonia’s military intelligence chief estimated Russia’s artillery ordnance at four million shells, which would allow it to continue a “low intensity” war for another year. Russia’s current firing rate of 10,000 to 15,000 shells a day contrasts with an average of 45,000 to 80,000 shells a day last year, intelligence chief Ants Kiviselg said. So far, the odd man out in the Western alliance has been Hungary whose prime minister, Viktor Orban, visited China this month to celebrate the Belt and Road Initiative (BRI), during which hemet Putin to reaffirmthe bond between Russia and Hungary. Upon his return, Orban compared EU membership with Soviet occupation. Brussels’ model of liberal democracy does not fit Hungary, he said. “Fortunately, Brussels is not Moscow. Moscow was a tragedy. Brussels is just a bad contemporary parody,” Orban told guests in the city of Veszprem. Hungary was also the most reluctant EU member to give up imports of Russian oil last December. “The United States is concerned about Hungary’s relationship with Russia,” US ambassador to Hungary David Pressman said in a statement on October 20. Russia’s war in Ukraine has intensified in its 87th week, with Russian forces persisting in an assault on the eastern town of Avdiivka and Ukrainian forces scoring a few stealthy advances along the front. They were fighting to establish full control of the village two days later, according to the BBC’s Russian service. The General Staff of the Armed Forces of Ukraine said on October 20 that its troops had destroyed almost 50 Russian tanks and about 100 armoured fighting vehicles while repelling attacks near Avdiivka, on the eastern front. Some Ukrainian soldiers reported 200 Russian vehicles destroyed, losses which Ukrainian President Volodymyr Zelenskyy late last week described as “really staggering”. Russian forces have formed pincers to the north and south of the city, and have mounted a fierce offensive to overrun it in the past month. Ukraine’s southern forces spokesperson, Oleksandr Shtupun, said Russia was having to resupply the Avdiivka front with new soldiers directly from Russia, and by October 24, Reuters news agency reported the losses had forced Moscow to switch to air attacks. According to Gudmundsson, a tracker of Russian losses based on open sources, Russia’s single worst day of the war in terms of losses was October 20, with reported casualties of 1,380, compared with a daily 2023 average of just below 500. Geolocated footage on October 21 seemed to show that Russian forces had made marginal gains northwest of the city in a landfill area and had advanced again there two days later, but Ukraine’s military said another 20 lines of attack had failed. Some 45km to the north, Ukrainian forces were making slow progress in a pincer movement of their own around occupied Bakhmut on October 23, crossing a key railway line near Klishchiivka. Ukraine managed to establish a new bridgehead on the left bank of the Dnipro river in Kherson during this week, the 87th of Russia’s war, scaling up a new battle on what is already a 1,500km (932-mile) front. Ukrainian sabotage and reconnaissance groups gained a foothold in the village of Krynky, 2km from the Dnipro shoreline on October 19, a Russian military reporter said, confirmed by geolocated footage. Russia’s Defence Ministry said it had frustrated several attempts by reconnaissance groups to cross the Dnipro, without specifying where. Other Ukrainian units have already established footholds on parts of the shore and near the Antonivsky bridge, said the Institute for the Study of War, a Washington, DC-based think tank.",https://www.aljazeera.com/news/2023/10/28/gaza-divides-the-world-along-faultlines-set-by-ukraine-war
"Russia-Ukraine war: List of key events, day 612","As the war enters its 612th day, these are the main developments.","Here is the situation on Saturday, October 28, 2023.    ",https://www.aljazeera.com/news/2023/10/28/russia-ukraine-war-list-of-key-events-day-611
"Russia-Ukraine war: List of key events, day 611","As the war enters its 611th day, these are the main developments.","Here is the situation on Friday, October 27, 2023.",https://www.aljazeera.com/news/2023/10/27/russia-ukraine-war-list-of-key-events-day-610-2
