Alj_Title,response,cause,effect,is_causal
"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?","{'cause': '', 'effect': '', 'is_causal': False}",,,False
South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'in Red Sea', 'is_causal': True}",Yemen’s Houthi rebels seize cargo ship,in Red Sea,True
US imposes sanctions on four Israeli settlers over West Bank violence,"{'cause': 'West Bank violence', 'effect': 'US imposes sanctions on four Israeli settlers', 'is_causal': True}",West Bank violence,US imposes sanctions on four Israeli settlers,True
"Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza, US says","{'cause': '', 'effect': '', 'is_causal': False}",,,False
First fuel truck since start of Israel-Hamas war enters Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israeli forces kill three Palestinians in West Bank hospital raid,"{'cause': 'Israeli forces raid West Bank hospital', 'effect': 'kill three Palestinians', 'is_causal': True}",Israeli forces raid West Bank hospital,kill three Palestinians,True
Palestinians mourn poet Refaat Alareer killed in Israeli air strike,"{'cause': 'Israeli air strike', 'effect': 'Palestinians mourn poet Refaat Alareer killed', 'is_causal': True}",Israeli air strike,Palestinians mourn poet Refaat Alareer killed,True
Behind the scenes: How the Israel-Hamas truce deal came together,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"Body of Hamas captive Yehudit Weiss found near Gaza hospital, Israel says","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Shipping companies pause Red Sea journeys after Houthi attacks,"{'cause': 'Houthi attacks', 'effect': 'Shipping companies pause Red Sea journeys', 'is_causal': True}",Houthi attacks,Shipping companies pause Red Sea journeys,True
Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israeli tanks besiege Gaza’s Indonesian Hospital,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Yemen’s Houthi rebels seize cargo ship in Red Sea,"{'cause': 'Yemen’s Houthi rebels seize cargo ship', 'effect': 'in Red Sea', 'is_causal': True}",Yemen’s Houthi rebels seize cargo ship,in Red Sea,True
