BBC_Title,response,cause,effect,is_causal
Who was Hamas leader Saleh al-Arouri killed in Beirut?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
South Africa files ICJ case accusing Israel of 'genocidal acts',"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Yemen's Houthi rebels hijack cargo ship in Red Sea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
US sanctions Israeli settlers over West Bank violence,"{'cause': 'West Bank violence', 'effect': 'US sanctions Israeli settlers', 'is_causal': True}",West Bank violence,US sanctions Israeli settlers,True
US says Israel to begin daily four-hour military pauses in Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
First fuel tanker enters Gaza from Egypt since start of war,"{'cause': 'start of war', 'effect': 'First fuel tanker enters Gaza from Egypt', 'is_causal': True}",start of war,First fuel tanker enters Gaza from Egypt,True
Israeli forces kill three Palestinian fighters in West Bank hospital raid,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Refaat Alareer: Palestinians mourn writer killed in air strike,"{'cause': 'air strike', 'effect': 'Palestinians mourn writer killed', 'is_causal': True}",air strike,Palestinians mourn writer killed,True
How the Israel-Hamas hostage deal came together,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israel says hostage's body found near main Gaza hospital,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Shipping firms pause Red Sea journeys over attacks,"{'cause': 'attacks', 'effect': 'Shipping firms pause Red Sea journeys', 'is_causal': True}",attacks,Shipping firms pause Red Sea journeys,True
Israel says it will allow two trucks of fuel a day into Gaza,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israeli tanks surround north Gaza's Indonesian Hospital,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Japan condemns Yemen's Houthi rebels hijack of cargo ship in Red Sea,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Israel orders evacuations from city in south Gaza as offensive widens,"{'cause': 'offensive widens', 'effect': 'Israel orders evacuations from city in south Gaza', 'is_causal': True}",offensive widens,Israel orders evacuations from city in south Gaza,True
Gaza war: Premature babies evacuated from al-Shifa hospital,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Turkey Israel: 'Seven arrested for passing information to Mossad',"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Hamas deputy leader Saleh al-Arouri killed in Beirut blast,"{'cause': 'Beirut blast', 'effect': 'Hamas deputy leader Saleh al-Arouri killed', 'is_causal': True}",Beirut blast,Hamas deputy leader Saleh al-Arouri killed,True
Netanyahu says Israel 'not successful' at minimising Gaza casualties but blames Hamas,"{'cause': 'blames Hamas', 'effect': ""Israel 'not successful' at minimising Gaza casualties"", 'is_causal': True}",blames Hamas,Israel 'not successful' at minimising Gaza casualties,True
"Israel losing global support over Gaza bombing, Biden says","{'cause': 'Israel losing global support', 'effect': 'Gaza bombing', 'is_causal': True}",Israel losing global support,Gaza bombing,True
Ahed Tamimi: Israeli forces arrest Palestinian activist in West Bank,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Rashida Tlaib censured over Israel-Gaza comments,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
US launches fourth round of strikes on Houthi targets in Yemen,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
