response,cause,effect,is_causal,Alj_Title,response,cause,effect,is_causal,BBCC_Title
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,"Who is Rustem Umerov, Ukraine’s next defence minister?","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Rustem Umerov: Who is Ukraine's next defence minister?
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russia and Ukraine complete first prisoner exchange since plane crash,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine and Russia complete first prisoner swap since plane crash
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine officially celebrates Christmas on December 25 for the first time,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine celebrates first Christmas on 25 December
"{'cause': 'Ukraine combat drone', 'effect': 'damages building in central Moscow', 'is_causal': True}",Ukraine combat drone,damages building in central Moscow,True,"Ukraine combat drone damages building in central Moscow, Russia says","{'cause': '', 'effect': '', 'is_causal': False}",,,False,Drone attack hits building in central Moscow
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russian convicted over journalist Anna Politkovskaya’s murder pardoned,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Anna Politkovskaya: Russian convicted of journalist murder gets pardon
"{'cause': 'was poisoned', 'effect': 'Marianna Budanova, wife of military spy chief', 'is_causal': True}",was poisoned,"Marianna Budanova, wife of military spy chief",True,"Ukraine says Marianna Budanova, wife of military spy chief, was poisoned","{'cause': 'poisoned', 'effect': ""Ukraine spy chief's wife"", 'is_causal': True}",poisoned,Ukraine spy chief's wife,True,"Ukraine spy chief's wife poisoned, says Kyiv"
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine gets European Commission nod to start EU membership talks,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine gets European Commission backing for talks on Ukraine membership
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russian General Surovikin seen in first photo since Wagner mutiny: Reports,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: Sergei Surovikin 'seen in first photo' since Wagner mutiny
"{'cause': 'crash', 'effect': 'Wagner boss Yevgeny Prigozhin confirmed dead', 'is_causal': True}",crash,Wagner boss Yevgeny Prigozhin confirmed dead,True,Wagner boss Yevgeny Prigozhin confirmed dead in crash,"{'cause': 'plane crash', 'effect': 'Wagner boss Prigozhin confirmed dead', 'is_causal': True}",plane crash,Wagner boss Prigozhin confirmed dead,True,Wagner boss Prigozhin confirmed dead in plane crash - Moscow
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Romania claims parts of possible Russian drone fell on its territory,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Ukraine war: Romania reveals Russian drone parts hit its territory
"{'cause': '‘Almost naked’ celebrity party', 'effect': 'triggers backlash in wartime Russia', 'is_causal': True}",‘Almost naked’ celebrity party,triggers backlash in wartime Russia,True,‘Almost naked’ celebrity party triggers backlash in wartime Russia,"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Russian celebs at 'almost naked' party stung by backlash
"{'cause': '', 'effect': '', 'is_causal': False}",,,False,Australia blocks new Russian embassy near parliament in Canberra,"{'cause': 'spying risk', 'effect': 'Australia blocks new Canberra site', 'is_causal': True}",spying risk,Australia blocks new Canberra site,True,Russian embassy: Australia blocks new Canberra site over spying risk
