BBC_Title,response,cause,effect,is_causal
Rustem Umerov: Who is Ukraine's next defence minister?,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine and Russia complete first prisoner swap since plane crash,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine celebrates first Christmas on 25 December,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Drone attack hits building in central Moscow,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Anna Politkovskaya: Russian convicted of journalist murder gets pardon,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"Ukraine spy chief's wife poisoned, says Kyiv","{'cause': 'poisoned', 'effect': ""Ukraine spy chief's wife"", 'is_causal': True}",poisoned,Ukraine spy chief's wife,True
Ukraine gets European Commission backing for talks on Ukraine membership,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine war: Sergei Surovikin 'seen in first photo' since Wagner mutiny,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Wagner boss Prigozhin confirmed dead in plane crash - Moscow,"{'cause': 'plane crash', 'effect': 'Wagner boss Prigozhin confirmed dead', 'is_causal': True}",plane crash,Wagner boss Prigozhin confirmed dead,True
Ukraine war: Romania reveals Russian drone parts hit its territory,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russian celebs at 'almost naked' party stung by backlash,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Russian embassy: Australia blocks new Canberra site over spying risk,"{'cause': 'spying risk', 'effect': 'Australia blocks new Canberra site', 'is_causal': True}",spying risk,Australia blocks new Canberra site,True
Ukraine dam: Thousands flee floods after dam collapse near Nova Kakhovka,"{'cause': 'dam collapse near Nova Kakhovka', 'effect': 'Thousands flee floods', 'is_causal': True}",dam collapse near Nova Kakhovka,Thousands flee floods,True
Ukraine war: Russia strikes Ukraine grain after ending sea deal,"{'cause': 'ending sea deal', 'effect': 'Russia strikes Ukraine grain', 'is_causal': True}",ending sea deal,Russia strikes Ukraine grain,True
Ukraine war: Kyiv accuses Russia of shelling Kherson evacuations,"{'cause': 'Russia of shelling', 'effect': 'Kherson evacuations', 'is_causal': True}",Russia of shelling,Kherson evacuations,True
Poland says Russian missile entered airspace then went into Ukraine,"{'cause': 'Russian missile entered airspace', 'effect': 'went into Ukraine', 'is_causal': True}",Russian missile entered airspace,went into Ukraine,True
Ukraine war: US to give Kyiv long-range ATACMS missiles - media reports,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"Wagner boss Prigozhin is in Russia, Belarus ruler Lukashenko says","{'cause': '', 'effect': '', 'is_causal': False}",,,False
Ukraine's counter-offensive against Russia under way,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Hungary blocks â‚¬50bn of EU funding for Ukraine,"{'cause': 'Hungary blocks', 'effect': '€50bn of EU funding for Ukraine', 'is_causal': True}",Hungary blocks,€50bn of EU funding for Ukraine,True
Cuba uncovers Russia-Ukraine war trafficking ring,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
Wagner to be declared a terrorist organisation by UK,"{'cause': '', 'effect': '', 'is_causal': False}",,,False
"Russian air defence system destroyed in Crimea, Ukraine says","{'cause': '', 'effect': '', 'is_causal': False}",,,False
