BBC_Title,response,cause,effect,is_causal
Rustem Umerov: Who is Ukraine's next defence minister?,"{'cause': '', 'effect': '', 'is_causal': 'False'}",,,False
Ukraine and Russia complete first prisoner swap since plane crash,"{'cause': 'plane crash', 'effect': 'Ukraine and Russia complete first prisoner swap', 'is_causal': True}",plane crash,Ukraine and Russia complete first prisoner swap,True
Ukraine celebrates first Christmas on 25 December,"{'cause': '', 'effect': 'Ukraine celebrates first Christmas on 25 December', 'is_causal': 'False'}",,Ukraine celebrates first Christmas on 25 December,False
Drone attack hits building in central Moscow,"{'cause': 'Drone attack', 'effect': 'hits building in central Moscow', 'is_causal': True}",Drone attack,hits building in central Moscow,True
Anna Politkovskaya: Russian convicted of journalist murder gets pardon,"{'cause': 'Russian convicted of journalist murder', 'effect': 'gets pardon', 'is_causal': True}",Russian convicted of journalist murder,gets pardon,True
"Ukraine spy chief's wife poisoned, says Kyiv","{'cause': 'poisoned', 'effect': ""Ukraine spy chief's wife"", 'is_causal': True}",poisoned,Ukraine spy chief's wife,True
Ukraine gets European Commission backing for talks on Ukraine membership,"{'cause': 'European Commission backing', 'effect': 'Ukraine gets talks on Ukraine membership', 'is_causal': True}",European Commission backing,Ukraine gets talks on Ukraine membership,True
Ukraine war: Sergei Surovikin 'seen in first photo' since Wagner mutiny,"{'cause': 'Wagner mutiny', 'effect': ""Sergei Surovikin 'seen in first photo'"", 'is_causal': True}",Wagner mutiny,Sergei Surovikin 'seen in first photo',True
Wagner boss Prigozhin confirmed dead in plane crash - Moscow,"{'cause': 'plane crash', 'effect': 'Wagner boss Prigozhin confirmed dead', 'is_causal': True}",plane crash,Wagner boss Prigozhin confirmed dead,True
Ukraine war: Romania reveals Russian drone parts hit its territory,"{'cause': 'Russian drone parts', 'effect': 'hit its territory', 'is_causal': True}",Russian drone parts,hit its territory,True
Russian celebs at 'almost naked' party stung by backlash,"{'cause': ""Russian celebs at 'almost naked' party"", 'effect': 'stung by backlash', 'is_causal': True}",Russian celebs at 'almost naked' party,stung by backlash,True
Russian embassy: Australia blocks new Canberra site over spying risk,"{'cause': 'Australia blocks new Canberra site', 'effect': 'Russian embassy', 'is_causal': True}",Australia blocks new Canberra site,Russian embassy,True
Ukraine dam: Thousands flee floods after dam collapse near Nova Kakhovka,"{'cause': 'dam collapse near Nova Kakhovka', 'effect': 'Thousands flee floods', 'is_causal': True}",dam collapse near Nova Kakhovka,Thousands flee floods,True
Ukraine war: Russia strikes Ukraine grain after ending sea deal,"{'cause': 'Russia strikes Ukraine grain after ending sea deal', 'effect': 'war', 'is_causal': True}",Russia strikes Ukraine grain after ending sea deal,war,True
Ukraine war: Kyiv accuses Russia of shelling Kherson evacuations,"{'cause': 'Russia of shelling', 'effect': 'Kherson evacuations', 'is_causal': True}",Russia of shelling,Kherson evacuations,True
