,aj_id,aj_date,bbc_id,bbc_date,cosine_similarity,aj_title,bbc_title,match
12,0,12/02/2024,1275,12/02/2024,0.805086732,"Israel kills dozens in Rafah strikes, frees two captives",Israel rescues two hostages in Rafah amid deadly strikes - BBC News,1
60,3,11/02/2024,1268,12/02/2024,0.794710159,What’s happening in Gaza’s Rafah as Israel threatens to attack?,Israel Gaza: Palestinians sheltering in Rafah fear impending offensive - BBC News,0
63,3,11/02/2024,1271,12/02/2024,0.761256874,What’s happening in Gaza’s Rafah as Israel threatens to attack?,Gaza war: What we know about Israel's Rafah hostage rescue raid - BBC News,0
70,3,11/02/2024,1278,12/02/2024,0.824044526,What’s happening in Gaza’s Rafah as Israel threatens to attack?,Israel-Gaza war: 'Violent' strikes reported in Gazan city of Rafah - BBC News,0
71,3,11/02/2024,1279,12/02/2024,0.824044526,What’s happening in Gaza’s Rafah as Israel threatens to attack?,Israel-Gaza war: 'Violent' strikes reported in Gazan city of Rafah - BBC News,0
100,5,11/02/2024,1270,12/02/2024,0.741682172,‘We’re going to do it’: Israeli PM set on invasion of Rafah,"Israelâ€™s assault on Rafah looms, but no plan yet to evacuate civilians - BBC News",0
242,15,09/02/2024,1289,09/02/2024,0.791752219,"Israel ramps up deadly attacks on Gaza’s Rafah despite US, UN warnings",Israel-Gaza war: US says it will not back unplanned Rafah offensive - BBC News,0
337,21,07/02/2024,1296,08/02/2024,0.795993626,Paramilitary commander killed in Baghdad drone strike: Reports,US drone strike kills Iran-backed militia leader in Baghdad - BBC News,1
482,33,06/02/2024,1304,06/02/2024,0.845145941,"Defiant Houthis claim fresh Red Sea attacks on US, UK ships",Houthis claim new attacks on Red Sea shipping - BBC News,1
546,40,05/02/2024,1306,05/02/2024,0.720070839,Attack on Syrian US base kills Kurdish fighters as regional tension simmers,Drone attack kills six Kurdish-led fighters at US base in east Syria - BBC News,1
554,41,04/02/2024,1308,05/02/2024,0.8562392,US-UK strikes on Yemen’s Houthis: What we know so far,US launches more strikes against Houthis in Yemen - BBC News,0
555,41,04/02/2024,1310,04/02/2024,0.818071246,US-UK strikes on Yemen’s Houthis: What we know so far,Grant Shapps says UK and US strikes on Yemen Houthis 'not an escalation' - BBC News,0
574,43,04/02/2024,1308,05/02/2024,0.825262308,"US, UK launch new wave of strikes on Yemen’s Houthis amid Gaza war",US launches more strikes against Houthis in Yemen - BBC News,1
575,43,04/02/2024,1310,04/02/2024,0.702653527,"US, UK launch new wave of strikes on Yemen’s Houthis amid Gaza war",Grant Shapps says UK and US strikes on Yemen Houthis 'not an escalation' - BBC News,0
604,46,03/02/2024,1311,04/02/2024,0.730250001,"‘Strategic error’: Iran condemns US attacks on Iraq, Syria",Iran says US strikes are a 'strategic mistake' - BBC News,1
688,52,02/02/2024,1320,02/02/2024,0.726459324,US to hit back against Iran-linked targets: Who and where will it strike?,"US approves plan to strike Iranian targets in Syria and Iraq, officials say - BBC News",1
700,53,02/02/2024,1318,02/02/2024,0.899085879,Turkey arrests seven suspected of selling information to Israel’s Mossad,Turkey Israel: 'Seven arrested for passing information to Mossad' - BBC News,1
711,54,02/02/2024,1314,03/02/2024,0.716458559,"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report",What we know about US retaliatory strikes in Iraq and Syria - BBC News,0
716,54,02/02/2024,1320,02/02/2024,0.940705657,"US approves plan for strikes on Iran-linked targets in Iraq, Syria: Report","US approves plan to strike Iranian targets in Syria and Iraq, officials say - BBC News",1
727,55,01/02/2024,1321,01/02/2024,0.944892287,US imposes sanctions on four Israeli settlers over West Bank violence,US sanctions Israeli settlers over West Bank violence - BBC News,1
901,64,30/01/2024,1334,30/01/2024,0.731487751,Hamas studying three-phase Gaza truce plan as Israeli hardliners warn PM,Hamas says it is studying proposal for new pause in Gaza fighting - BBC News,1
929,65,30/01/2024,1337,30/01/2024,0.960321307,Israeli forces kill three Palestinians in West Bank hospital raid,Israeli forces kill three Palestinian fighters in West Bank hospital raid - BBC News,1
1015,69,29/01/2024,1345,29/01/2024,0.908605993,"What is Tower 22, the Jordan-based US outpost targeted in a drone strike?",US drone attack: What is Tower 22 and why are US troops in Jordan? - BBC News,1
1116,74,29/01/2024,1346,29/01/2024,0.868702412,Iran denies involvement in drone attack that killed 3 US soldiers in Jordan,Iran denies involvement in drone strike that killed three US troops - BBC News,1
1161,77,28/01/2024,1340,29/01/2024,0.701065183,"Three US service members killed in Jordan drone attack, Biden says",Three US soldiers killed in Jordan attack named - BBC News,1
1172,77,28/01/2024,1351,29/01/2024,0.706199169,"Three US service members killed in Jordan drone attack, Biden says",US drone attack: Three US troops killed in drone strike on US base in Middle East - BBC News,0
1253,83,27/01/2024,1358,26/01/2024,0.74625653,UN Security Council to discuss ICJ ruling in Israel genocide case,ICJ says Israel must prevent genocide in Gaza - BBC News,0
1280,86,27/01/2024,1358,26/01/2024,0.72935307,ICJ ruling in Gaza genocide case renews calls to end Israel arms transfers,ICJ says Israel must prevent genocide in Gaza - BBC News,0
1282,86,27/01/2024,1361,26/01/2024,0.791109204,ICJ ruling in Gaza genocide case renews calls to end Israel arms transfers,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
1331,91,26/01/2024,1357,26/01/2024,0.813137233,"What has the ICJ ordered Israel to do on Gaza war, and what’s next?",Israel reined in by ICJ rulings on Gaza - but will it obey? - BBC News,1
1332,91,26/01/2024,1358,26/01/2024,0.774944067,"What has the ICJ ordered Israel to do on Gaza war, and what’s next?",ICJ says Israel must prevent genocide in Gaza - BBC News,0
