,cnn_id,cnn_date,bbc_id,bbc_date,cosine_similarity,cnn_title,bbc_title,match
41,3848,15/02/2024,1253,16/02/2024,0.802283287,Israeli special forces raid largest functioning hospital in Gaza,Gaza's Nasser hospital: Fears for patients as Israeli raid continues - BBC News,0
43,3848,15/02/2024,1255,15/02/2024,0.71784693,Israeli special forces raid largest functioning hospital in Gaza,Nasser hospital in 'catastrophic' condition as Israeli troops raid - BBC News,1
47,3848,15/02/2024,1259,14/02/2024,0.780225456,Israeli special forces raid largest functioning hospital in Gaza,Israel orders evacuation of largest hospital in southern Gaza - BBC News,0
114,3853,14/02/2024,1262,14/02/2024,0.750672758,Israeli strikes deepen panic in Rafah as UN aid chief warns a ground offensive could result in ‘slaughter’,Israel Gaza: UN warns of 'slaughter' if Israel launches ground assault on Rafah - BBC News,1
131,3854,12/02/2024,1271,12/02/2024,0.752042115,Israeli forces rescue 2 hostages as airstrikes kill around 100 Palestinians in Rafah,Gaza war: What we know about Israel's Rafah hostage rescue raid - BBC News,0
135,3854,12/02/2024,1275,12/02/2024,0.867282867,Israeli forces rescue 2 hostages as airstrikes kill around 100 Palestinians in Rafah,Israel rescues two hostages in Rafah amid deadly strikes - BBC News,1
265,3861,09/02/2024,1285,10/02/2024,0.834885299,Netanyahu directs Israeli military to draw up plan to evacuate more than one million people from Rafah as offensive looms,Netanyahu orders military to plan evacuations from Rafah - BBC News,1
455,3874,02/02/2024,1319,02/02/2024,0.76359427,More than 800 Western officials sign scathing criticism of Gaza policy,Western officials in protest over Israel Gaza policy - BBC News,1
771,3894,26/01/2024,1358,26/01/2024,0.73287797,Top UN court says Israel must take ‘all measures’ to prevent genocide in Gaza but stops short of calling for ceasefire,ICJ says Israel must prevent genocide in Gaza - BBC News,1
782,3895,25/01/2024,1361,26/01/2024,0.736496925,Gaza endgame: Inching toward a deal to end the war,Gaza war: ICJ to rule on call for Israel to stop military action - BBC News,0
808,3897,24/01/2024,1365,25/01/2024,0.700421989,‘Mass casualties’ as UN shelter struck amid intense fighting in Khan Younis,Khan Younis: UN says 12 killed at Gaza shelter as fighting rages - BBC News,1
867,3900,23/01/2024,1372,23/01/2024,0.872967124,24 soldiers killed on deadliest day for Israeli forces in Gaza combat,Israel-Gaza war: IDF says 24 soldiers killed in Gaza in one day - BBC News,1
1034,3909,19/01/2024,1398,19/01/2024,0.704442263,Israel’s war in Gaza has exposed a deepening global divide,"Gaza war creating a radicalisation moment, senior UK police officer says - BBC News",0
1089,3912,18/01/2024,1401,19/01/2024,0.717593133,Netanyahu’s apparent rejection of a post-war Palestinian state adds to tensions with Biden administration,Netanyahu publicly rejects US push for Palestinian state - BBC News,1
1160,3915,18/01/2024,1412,17/01/2024,0.803706288,Medicine for Israeli hostages and Palestinians arrives in Gaza under deal struck by Qatar,Intense Israeli strikes in south Gaza city as hostages sent medicine - BBC News,0
1191,3917,16/01/2024,1416,16/01/2024,0.733949006,"Israel and Hamas have agreed deal on medicine for hostages, aid to Gaza, Qatar says","Israel Gaza war: Deal reached on aid to Gaza, including to hostages - BBC News",1
1315,3922,15/12/2023,1571,16/12/2023,0.807099462,"Al Jazeera cameraman dies after Israeli attack in southern Gaza, network says",Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike - BBC News,1
1494,3930,09/01/2024,1481,08/01/2024,0.855962276,Blinken tells Israeli government that Palestinians must be allowed to return to homes in Gaza,Palestinians must be able to stay in Gaza - Blinken - BBC News,1
1671,3942,02/01/2024,1499,03/01/2024,0.738463581,"Senior Hamas leader killed in Beirut blast, heightening fears of wider regional conflict",Hamas deputy leader Saleh al-Arouri killed in Beirut blast - BBC News,1
1674,3942,02/01/2024,1502,02/01/2024,0.703392267,"Senior Hamas leader killed in Beirut blast, heightening fears of wider regional conflict",Who was Hamas leader Saleh al-Arouri killed in Beirut? - BBC News,0
1711,3945,01/01/2024,1508,01/01/2024,0.865136504,Israel to withdraw some troops from Gaza but expects fighting will continue through 2024,Israel says war in Gaza expected to continue throughout 2024 - BBC News,1
1725,3947,29/12/2023,1514,29/12/2023,0.773315072,South Africa files genocide case against Israel at International Court of Justice over Gaza war,South Africa files ICJ case accusing Israel of 'genocidal acts' - BBC News,1
1782,3954,21/12/2023,1541,22/12/2023,0.725532889,"UN resolution on suspending fighting between Israel and Hamas, humanitarian aid to Gaza is ready for vote, US ambassador says",Israel-Gaza war: US backs UN Security Council vote on Gaza aid boost - BBC News,0
