Column1,aj_id,aj_date,bbc_id,bbc_date,cosine_similarity,aj_title,bbc_title,match
1,2827,2/17/24,2044,2/17/24,0.716104507,Russia claims capture of Avdiivka after Ukraine withdraws from key city,Avdiivka: Ukraine troops leave embattled eastern town - BBC News,1
172,2850,2/10/24,2062,2/10/24,0.704904318,Overnight Russian drone attack kills at least seven in Ukraine’s Kharkiv,Kharkiv: Seven 'burned alive' as Russian drones hit oil depot - BBC News,1
191,2852,2/9/24,2066,2/9/24,0.737501264,Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,What do Vladimir Putin and Tucker Carlson gain from Moscow interview? - BBC News,0
196,2852,2/9/24,2071,2/8/24,0.764495254,Decoding Putin’s ‘obsessive ideas’ in the Tucker Carlson interview,Tucker Carlson interviews Russia's Putin - Kremlin - BBC News,0
221,2855,2/9/24,2066,2/9/24,0.771994174,What did Vladimir Putin say to Tucker Carlson? Five key takeaways,What do Vladimir Putin and Tucker Carlson gain from Moscow interview? - BBC News,0
226,2855,2/9/24,2071,2/8/24,0.777162552,What did Vladimir Putin say to Tucker Carlson? Five key takeaways,Tucker Carlson interviews Russia's Putin - Kremlin - BBC News,0
251,2858,2/8/24,2068,2/8/24,0.769468486,Ukraine’s Zelenskyy names new army chief after dismissing Zaluzhny,Zelensky sacks Ukraine's commander-in-chief Valerii Zaluzhnyi - BBC News,1
253,2858,2/8/24,2070,2/8/24,0.769047618,Ukraine’s Zelenskyy names new army chief after dismissing Zaluzhny,Russia-Ukraine war: Zelensky calls for army renewal as top general replaced - BBC News,0
489,2884,2/1/24,2086,2/1/24,0.759638608,European Union agrees on new $54bn aid package for Ukraine,Ukraine support package worth â‚¬50bn agreed by EU leaders - BBC News,1
522,2886,2/1/24,2091,2/1/24,0.72958982,Thailand deports dissident Russian rockers to Israel,Bi-2: Russian anti-war band leaves Thailand for Israel - BBC News,1
530,2887,2/1/24,2085,2/2/24,0.714766204,"Russia-Ukraine war: List of key events, day 708",Ukraine war: How Russia's war is changing childhood in Ukraine - BBC News,0
547,2888,1/31/24,2092,1/31/24,0.821524024,ICJ rejects most of Ukraine’s ‘terrorism’ case against Russia,Russia Ukraine war: ICJ finds Moscow violated terrorism and anti-discrimination treaties - BBC News,1
576,2890,1/31/24,2093,1/31/24,0.893069148,Russia and Ukraine complete first prisoner exchange since plane crash,Ukraine and Russia complete first prisoner swap since plane crash - BBC News,1
605,2892,1/31/24,2094,1/31/24,0.708401382,Ukraine war critic submits bid to challenge Putin for Russia’s presidency,Boris Nadezhdin: Putin challenger submits bid to run for Russian president - BBC News,1
622,2893,1/31/24,2097,1/30/24,0.80254215,Russian rock band critical of Ukraine war faces deportation from Thailand,Bi-2: Russia anti-war band arrested in Thailand faces deportation - BBC News,1
693,2901,1/28/24,2102,1/28/24,0.869690716,Ukraine says it uncovers $40m arms corruption scheme,Ukraine says it has uncovered major arms corruption - BBC News,1
705,2904,1/26/24,2104,1/25/24,0.710130095,"‘Propaganda, provocation’: Did Ukraine down a plane with its POWs aboard?",Ukrainian intelligence does not rule out PoWs on downed Russian plane - BBC News,1
802,2913,1/24/24,2111,1/25/24,0.715538263,Zelenskyy says Russia ‘playing with lives’ of Ukrainian POWs after crash,"Russia risked lives in downed plane, Volodymyr Zelensky says - BBC News",1
817,2914,1/24/24,2114,1/23/24,0.756413281,At least 18 killed in wave of Russian missile attacks on Ukraine,Ukraine death toll rises to 18 after Russian missile attacks - BBC News,1
893,2923,1/21/24,2119,1/21/24,0.713505864,Russia says at least 27 killed in blast at Donetsk market,"Donetsk: Deadly blast hits market in Russia-held Ukraine city, officials say - BBC News",1
941,2938,1/16/24,2126,1/15/24,0.767632008,Ukraine says shot down two Russian command aircraft in blow to Moscow,Ukraine says it shot down Russian A-50 spy plane - BBC News,1
1059,2958,1/6/24,2142,1/6/24,0.785308957,Ukraine says Russian missile attack kills 11 in eastern town,"Ukraine-Russia war: missiles kill 11, including children, Ukrainian official says - BBC News",1
1065,2959,1/4/24,2147,1/5/24,0.897694945,"Russia used North Korean missiles in Ukraine, US says",Ukraine war: US says Russia using North Korea ballistic missiles - BBC News,1
1078,2961,1/3/24,2149,1/3/24,0.788220882,"Russia, Ukraine exchange hundreds of prisoners in largest release of war",Ukraine and Russia in 'biggest prisoner swap' so far - BBC News,1
1087,2962,1/3/24,2151,1/3/24,0.726732969,Ukrainian missiles target Russian border regions in retaliatory strikes,Ukraine war: Missiles fired at Russian city Belgorod and occupied Crimea - BBC News,0
1097,2963,1/3/24,2154,1/2/24,0.730840981,"Russia-Ukraine war: List of key events, day 679",Ukraine war: Grim new year for Ukrainians under shadow of Russian attack - BBC News,0
1111,2965,1/2/24,2154,1/2/24,0.733321249,"Russia-Ukraine war: List of key events, day 678",Ukraine war: Grim new year for Ukrainians under shadow of Russian attack - BBC News,0
1114,2966,1/1/24,2153,1/2/24,0.801326513,Putin vows to intensify strikes on Ukraine after deadly Belgorod attack,Ukraine hit again after Putin vows intensified strikes - BBC News,0
1116,2966,1/1/24,2155,1/1/24,0.810870469,Putin vows to intensify strikes on Ukraine after deadly Belgorod attack,Putin vows to 'intensify' attacks against Ukraine military targets - BBC News,1
1122,2967,1/1/24,2154,1/2/24,0.730498672,"Ukraine, Russia accuse each other of New Year’s Day attacks",Ukraine war: Grim new year for Ukrainians under shadow of Russian attack - BBC News,0
1129,2968,1/1/24,2154,1/2/24,0.717016459,"Russia-Ukraine war: List of key events, day 677",Ukraine war: Grim new year for Ukrainians under shadow of Russian attack - BBC News,0
1164,2971,12/30/23,2170,12/29/23,0.756726742,Russia says 21 people killed in Ukrainian attack on Belgorod,Ukraine war: Russia says 14 dead after Ukraine strikes Belgorod - BBC News,1
1186,2973,12/29/23,2165,12/29/23,0.928623319,Poland says Russian missile briefly entered its airspace,Poland says Russian missile entered airspace then went into Ukraine - BBC News,1
1255,2977,12/29/23,2174,12/28/23,0.857140481,Russian poets given long jail terms for reciting verses against Ukraine war,Russian poets get jail sentences for anti-war poetry reading - BBC News,1
1298,2980,12/28/23,2175,12/27/23,0.783233881,Ukraine welcomes latest US aid package as war nears two year mark,Ukraine war: US releases last military aid for Kyiv for now - BBC News,1
1370,2989,12/25/23,2181,12/25/23,0.983881772,Ukraine officially celebrates Christmas on December 25 for the first time,Ukraine celebrates first Christmas on 25 December - BBC News,1
1396,2993,12/24/23,2181,12/25/23,0.753942251,Ukraine picks new Christmas date in break with Russian tradition,Ukraine celebrates first Christmas on 25 December - BBC News,0
1402,2993,12/24/23,2187,12/23/23,0.837935746,Ukraine picks new Christmas date in break with Russian tradition,Ukraine war: New Christmas date marks shift away from Russia - BBC News,1
1466,3000,12/19/23,2199,12/19/23,0.734983563,Zelenskyy confident US will not ‘betray’ Ukraine,Ukraine war latest: We are not starting to lose this war - Zelensky - BBC News,0
1507,3008,12/15/23,2204,12/15/23,0.860271156,Hungary blocks $54bn EU financial aid for Ukraine,Hungary blocks â‚¬50bn of EU funding for Ukraine - BBC News,1
1591,3014,12/14/23,2210,12/14/23,0.807374358,"Putin: Russia’s goals in Ukraine unchanged, no peace until they’re achieved",Russia-Ukraine war: Putin tells Russia his war objectives are unchanged - BBC News,1
1631,3017,12/13/23,2213,12/13/23,0.829631507,"Dozens hurt, children’s hospital damaged, in Russian missile attack on Kyiv",Ukraine war: Dozens wounded in Russian missile strikes on Kyiv - BBC News,0
1682,3021,12/12/23,2220,12/11/23,0.737695575,Ukraine’s Zelenskyy arrives in the US. What’s on the agenda?,Ukraine war: Zelensky makes plea for US aid ahead of Biden meeting - BBC News,0
1722,3025,12/11/23,2220,12/11/23,0.725778341,Zelenskyy says delaying aid is a gift to Putin as he seeks US support,Ukraine war: Zelensky makes plea for US aid ahead of Biden meeting - BBC News,0
1757,3029,12/11/23,2223,12/11/23,0.739853263,UK sends minehunters to boost Ukraine’s Black Sea forces,UK to give two Royal Navy minehunter ships to Ukraine - BBC News,1
1901,3042,12/5/23,2242,12/4/23,0.738151073,Deputy Russian army commander killed in Ukraine: Official,Ukraine: Russian official confirms general's death in action - BBC News,1
