index,bbc_pred,alj_pred,BBC_Title,Alj_Title
dcorpus_ddocid_0_0,0,0,Who was Hamas leader Saleh al-Arouri killed in Beirut?,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?"
dcorpus_ddocid_1_0,0,0,South Africa files ICJ case accusing Israel of 'genocidal acts',South Africa files case at ICJ accusing Israel of ‘genocidal acts’ in Gaza
dcorpus_ddocid_2_0,0,0,Yemen's Houthi rebels hijack cargo ship in Red Sea,Yemen’s Houthi rebels seize cargo ship in Red Sea
dcorpus_ddocid_3_0,0,0,US sanctions Israeli settlers over West Bank violence,US imposes sanctions on four Israeli settlers over West Bank violence
dcorpus_ddocid_4_0,0,0,US says Israel to begin daily four-hour military pauses in Gaza,"Israel to begin daily four-hour ‘pauses’ in fighting in north Gaza, US says"
dcorpus_ddocid_5_0,0,0,First fuel tanker enters Gaza from Egypt since start of war,First fuel truck since start of Israel-Hamas war enters Gaza
dcorpus_ddocid_6_0,0,0,Israeli forces kill three Palestinian fighters in West Bank hospital raid,Israeli forces kill three Palestinians in West Bank hospital raid
dcorpus_ddocid_7_0,1,1,Refaat Alareer: Palestinians mourn writer killed in air strike,Palestinians mourn poet Refaat Alareer killed in Israeli air strike
dcorpus_ddocid_8_0,0,0,How the Israel-Hamas hostage deal came together,Behind the scenes: How the Israel-Hamas truce deal came together
dcorpus_ddocid_9_0,0,0,Israel says hostage's body found near main Gaza hospital,"Body of Hamas captive Yehudit Weiss found near Gaza hospital, Israel says"
dcorpus_ddocid_10_0,0,1,Shipping firms pause Red Sea journeys over attacks,Shipping companies pause Red Sea journeys after Houthi attacks
dcorpus_ddocid_11_0,0,0,Israel says it will allow two trucks of fuel a day into Gaza,Israel agrees to allow ‘minimal’ two trucks of fuel a day into Gaza
dcorpus_ddocid_12_0,0,0,Israeli tanks surround north Gaza's Indonesian Hospital,Israeli tanks besiege Gaza’s Indonesian Hospital
dcorpus_ddocid_13_0,0,0,Japan condemns Yemen's Houthi rebels hijack of cargo ship in Red Sea,Yemen’s Houthi rebels seize cargo ship in Red Sea
dcorpus_ddocid_14_0,0,1,Israel orders evacuations from city in south Gaza as offensive widens,Israel orders evacuations as onslaught on Gaza widens
dcorpus_ddocid_15_0,0,0,Gaza war: Premature babies evacuated from al-Shifa hospital,Babies evacuated from al-Shifa Hospital to southern Gaza amid Israel war
dcorpus_ddocid_16_0,1,0,Turkey Israel: 'Seven arrested for passing information to Mossad',Turkey arrests seven suspected of selling information to Israel’s Mossad
dcorpus_ddocid_17_0,1,0,Hamas deputy leader Saleh al-Arouri killed in Beirut blast,"Who was Saleh al-Arouri, the Hamas leader killed in Beirut?"
dcorpus_ddocid_18_0,0,0,Netanyahu says Israel 'not successful' at minimising Gaza casualties but blames Hamas,Israel ‘not successful’ in minimising Gaza civilian casualties: Netanyahu
dcorpus_ddocid_19_0,1,0,"Israel losing global support over Gaza bombing, Biden says",Biden warns Israel risks losing support over ‘indiscriminate’ Gaza bombing
dcorpus_ddocid_20_0,0,0,Ahed Tamimi: Israeli forces arrest Palestinian activist in West Bank,Israel arrests Palestinian activist Ahed Tamimi in occupied West Bank raids
dcorpus_ddocid_21_0,0,0,Hezbollah chief Hassan Nasrallah makes first speech on Israel-Gaza war,Hezbollah’s Hassan Nasrallah speech on Israel-Hamas war: Key takeaways
dcorpus_ddocid_22_0,0,1,Rashida Tlaib censured over Israel-Gaza comments,US House votes to censure Rashida Tlaib over Israel-Hamas war comments
dcorpus_ddocid_23_0,0,0,US launches fourth round of strikes on Houthi targets in Yemen,US launches new strikes on Houthi targets in Yemen
dcorpus_ddocid_24_0,1,0,ICJ says Israel must prevent genocide in Gaza,ICJ rules Israel must prevent acts of genocide in Gaza: Key takeaways
dcorpus_ddocid_25_0,1,1,Iran denies involvement in drone strike that killed three US troops,Iran denies involvement in drone attack that killed 3 US soldiers in Jordan
dcorpus_ddocid_26_0,1,1,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,Al Jazeera condemns Israeli forces killing of cameraman Samer Abudaqa
dcorpus_ddocid_27_0,1,1,"Shani Louk: Woman missing after Hamas attack is dead, says mother","Israel says German-Israeli woman Shani Louk, taken by Hamas, is dead"
dcorpus_ddocid_28_0,0,1,David Cameron worried Israel may have broken international law in Gaza,British FM ‘worried’ Israel may have breached international law in Gaza
dcorpus_ddocid_29_0,1,1,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,Al Jazeera journalist Samer Abudaqa killed in Israeli attack in Gaza
dcorpus_ddocid_30_0,1,0,Israel to fight South Africa's Gaza genocide claim in court,Israel promises to fight South Africa genocide accusation at ICJ
dcorpus_ddocid_31_0,1,0,Wael Al-Dahdouh: Al Jazeera reporter's family killed in Gaza strike,Al Jazeera condemns Israeli killing of journalist Wael Al-Dahdouh’s family
dcorpus_ddocid_32_0,0,0,Palestinians must be able to stay in Gaza - Blinken,Blinken says Palestinians displaced in Gaza must be able to return home
dcorpus_ddocid_33_0,0,0,Israel hostages: IDF says it mistakenly killed three men held in Gaza,Israeli army says it mistakenly killed three captives held in Gaza
dcorpus_ddocid_34_0,1,0,Samer Abudaqa: Al Jazeera cameraman killed in Gaza drone strike,‘A wonderful human’: Al Jazeera colleagues remember Samer Abudaqa
dcorpus_ddocid_35_0,0,0,"Israel-Hamas truce in Gaza extended for two days, Qatar says","Israel and Hamas agree to extend truce by two days, Qatar says"
dcorpus_ddocid_36_0,0,1,Who was Hamas leader Saleh al-Arouri killed in Beirut?,Senior Hamas official Saleh al-Arouri killed in Beirut suburb
